params,input,prompt,generator choices,labels,label_arr,label_arr_formatted,label_desc_formatted
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!
""""""""","[<OpenAIObject at 0x7fc669c147c0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\nUnhelpful Customer Service: Unhelpful customer service experience with pricing issues.\nMisleading Experience: Misleading experience with counselors who lacked experience or were not a good fit.\nUnprofessional Counselor: Unprofessional counselor who competed with patient and bragged about personal experiences.\nFrustrating System: Frustrating system that caused multiple misunderstandings.\nBetter Alternative: Better alternative found with Talkspace.""
}]","['Unhelpful Customer Service: Unhelpful customer service experience with pricing issues.', 'Misleading Experience: Misleading experience with counselors who lacked experience or were not a good fit.', 'Unprofessional Counselor: Unprofessional counselor who competed with patient and bragged about personal experiences.', 'Frustrating System: Frustrating system that caused multiple misunderstandings.', 'Better Alternative: Better alternative found with Talkspace.']","['Unhelpful Customer Service: Unhelpful customer service experience with pricing issues.', 'Misleading Experience: Misleading experience with counselors who lacked experience or were not a good fit.', 'Unprofessional Counselor: Unprofessional counselor who competed with patient and bragged about personal experiences.', 'Frustrating System: Frustrating system that caused multiple misunderstandings.', 'Better Alternative: Better alternative found with Talkspace.']","['unhelpful customer service', 'misleading experience', 'unprofessional counselor', 'frustrating system', 'better alternative']","{'unhelpful customer service': ' Unhelpful customer service experience with pricing issues.', 'misleading experience': ' Misleading experience with counselors who lacked experience or were not a good fit.', 'unprofessional counselor': ' Unprofessional counselor who competed with patient and bragged about personal experiences.', 'frustrating system': ' Frustrating system that caused multiple misunderstandings.', 'better alternative': ' Better alternative found with Talkspace.'}"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.,"
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.
""""""""","[<OpenAIObject at 0x7fc669c14310> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\nCalming: Helps reduce anxiety.\nEducational: Provides info on anxiety.\nEmpowering: Reminds users they are in control.\nBrave: Encourages users to be brave.\nFear-reducing: Helps reduce phobias.""
}]","['Calming: Helps reduce anxiety.', 'Educational: Provides info on anxiety.', 'Empowering: Reminds users they are in control.', 'Brave: Encourages users to be brave.', 'Fear-reducing: Helps reduce phobias.']","['Calming: Helps reduce anxiety.', 'Educational: Provides info on anxiety.', 'Empowering: Reminds users they are in control.', 'Brave: Encourages users to be brave.', 'Fear-reducing: Helps reduce phobias.']","['calming', 'educational', 'empowering', 'brave', 'fearreducing']","{'calming': ' Helps reduce anxiety.', 'educational': ' Provides info on anxiety.', 'empowering': ' Reminds users they are in control.', 'brave': ' Encourages users to be brave.', 'fearreducing': ' Helps reduce phobias.'}"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)
""""""""","[<OpenAIObject at 0x7fc669c194f0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nMisleading Marketing: Unclear advertising tactics targeting children.\nUnwanted Subscription: Unintentional purchase of yearly subscription.\nNo Refunds: Apple's policy of no refunds on digital purchases.\nIronic Name: App named \""Calm\"" causing agitation.\nHigh Cost: $75 cost for unintentional purchase.\nChristmas Surprise: Unexpected purchase during holiday season.""
}]","['Misleading Marketing: Unclear advertising tactics targeting children.', 'Unwanted Subscription: Unintentional purchase of yearly subscription.', ""No Refunds: Apple's policy of no refunds on digital purchases."", 'Ironic Name: App named ""Calm"" causing agitation.', 'High Cost: $75 cost for unintentional purchase.', 'Christmas Surprise: Unexpected purchase during holiday season.']","['Misleading Marketing: Unclear advertising tactics targeting children.', 'Unwanted Subscription: Unintentional purchase of yearly subscription.', ""No Refunds: Apple's policy of no refunds on digital purchases."", 'Ironic Name: App named ""Calm"" causing agitation.', 'High Cost: $75 cost for unintentional purchase.', 'Christmas Surprise: Unexpected purchase during holiday season.']","['misleading marketing', 'unwanted subscription', 'no refunds', 'ironic name', 'high cost', 'christmas surprise']","{'misleading marketing': ' Unclear advertising tactics targeting children.', 'unwanted subscription': ' Unintentional purchase of yearly subscription.', 'no refunds': "" Apple's policy of no refunds on digital purchases."", 'ironic name': ' App named ""Calm"" causing agitation.', 'high cost': ' $75 cost for unintentional purchase.', 'christmas surprise': ' Unexpected purchase during holiday season.'}"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive
""""""""","[<OpenAIObject at 0x7fc669c19b30> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nGreed: Charging $70/year for mental health app.\nSelfishness: Unlocked features require expensive subscription.\nRudeness: No free features for people with anxiety.\nInaccessibility: Expensive subscription limits access.\nExploitation: Taking advantage of vulnerable people.""
}]","['Greed: Charging $70/year for mental health app.', 'Selfishness: Unlocked features require expensive subscription.', 'Rudeness: No free features for people with anxiety.', 'Inaccessibility: Expensive subscription limits access.', 'Exploitation: Taking advantage of vulnerable people.']","['Greed: Charging $70/year for mental health app.', 'Selfishness: Unlocked features require expensive subscription.', 'Rudeness: No free features for people with anxiety.', 'Inaccessibility: Expensive subscription limits access.', 'Exploitation: Taking advantage of vulnerable people.']","['greed', 'selfishness', 'rudeness', 'inaccessibility', 'exploitation']","{'greed': ' Charging $70/year for mental health app.', 'selfishness': ' Unlocked features require expensive subscription.', 'rudeness': ' No free features for people with anxiety.', 'inaccessibility': ' Expensive subscription limits access.', 'exploitation': ' Taking advantage of vulnerable people.'}"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good
""""""""","[<OpenAIObject at 0x7fc669c14d10> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\nAffordability: Expensive with student discount\nFlexibility: Switch therapists, video chat, text, phone call\nJournaling: Share journal entries\nTherapist Matching: Find perfect therapist\nBuggy: Mute/unmute issue""
}]","['Affordability: Expensive with student discount', 'Flexibility: Switch therapists, video chat, text, phone call', 'Journaling: Share journal entries', 'Therapist Matching: Find perfect therapist', 'Buggy: Mute/unmute issue']","['Affordability: Expensive with student discount', 'Flexibility: Switch therapists, video chat, text, phone call', 'Journaling: Share journal entries', 'Therapist Matching: Find perfect therapist', 'Buggy: Mute/unmute issue']","['affordability', 'flexibility', 'journaling', 'therapist matching', 'buggy']","{'affordability': ' Expensive with student discount', 'flexibility': ' Switch therapists, video chat, text, phone call', 'journaling': ' Share journal entries', 'therapist matching': ' Find perfect therapist', 'buggy': ' Mute/unmute issue'}"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .
""""""""","[<OpenAIObject at 0x7fc669c19f40> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nNo Refunds: No refunds offered for app purchases.\nPoor UX: Difficult to sign up for basic membership.\nAnnoying Narration: Same two people narrate, with Tamara's voice being particularly grating.\nExpensive: $65 for a year's subscription.\nChargeback: User will call credit card company to dispute charge.""
}]","['No Refunds: No refunds offered for app purchases.', 'Poor UX: Difficult to sign up for basic membership.', ""Annoying Narration: Same two people narrate, with Tamara's voice being particularly grating."", ""Expensive: $65 for a year's subscription."", 'Chargeback: User will call credit card company to dispute charge.']","['No Refunds: No refunds offered for app purchases.', 'Poor UX: Difficult to sign up for basic membership.', ""Annoying Narration: Same two people narrate, with Tamara's voice being particularly grating."", ""Expensive: $65 for a year's subscription."", 'Chargeback: User will call credit card company to dispute charge.']","['no refunds', 'poor ux', 'annoying narration', 'expensive', 'chargeback']","{'no refunds': ' No refunds offered for app purchases.', 'poor ux': ' Difficult to sign up for basic membership.', 'annoying narration': "" Same two people narrate, with Tamara's voice being particularly grating."", 'expensive': "" $65 for a year's subscription."", 'chargeback': ' User will call credit card company to dispute charge.'}"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).
""""""""","[<OpenAIObject at 0x7fc669c19f90> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nMindfulness: Observe thoughts\nDaydreaming: Take things less seriously\nHeadspace: Helpful tips\nMeditation: Gentle focus\nEmotions: Reacting to thoughts""
}]","['Mindfulness: Observe thoughts', 'Daydreaming: Take things less seriously', 'Headspace: Helpful tips', 'Meditation: Gentle focus', 'Emotions: Reacting to thoughts']","['Mindfulness: Observe thoughts', 'Daydreaming: Take things less seriously', 'Headspace: Helpful tips', 'Meditation: Gentle focus', 'Emotions: Reacting to thoughts']","['mindfulness', 'daydreaming', 'headspace', 'meditation', 'emotions']","{'mindfulness': ' Observe thoughts', 'daydreaming': ' Take things less seriously', 'headspace': ' Helpful tips', 'meditation': ' Gentle focus', 'emotions': ' Reacting to thoughts'}"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.
""""""""","[<OpenAIObject at 0x7fc669c19e50> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nMindfulness: Stress relief\nJournalism: Expert interviewer\nSelf-care: Joyful living\nCommunications: Jargon simplification\nScientific: Evidence-based results""
}]","['Mindfulness: Stress relief', 'Journalism: Expert interviewer', 'Self-care: Joyful living', 'Communications: Jargon simplification', 'Scientific: Evidence-based results']","['Mindfulness: Stress relief', 'Journalism: Expert interviewer', 'Self-care: Joyful living', 'Communications: Jargon simplification', 'Scientific: Evidence-based results']","['mindfulness', 'journalism', 'selfcare', 'communications', 'scientific']","{'mindfulness': ' Stress relief', 'journalism': ' Expert interviewer', 'selfcare': ' Joyful living', 'communications': ' Jargon simplification', 'scientific': ' Evidence-based results'}"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly
""""""""","[<OpenAIObject at 0x7fc669c19680> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nEmoji Overload: Excessive use of emojis\nInflated Reviews: Unreliable reviews\nScripted Responses: Preprogrammed responses\nEgo-inflating: Self-praise in AI dialogue\nPatronizing: Childish behaviour""
}]","['Emoji Overload: Excessive use of emojis', 'Inflated Reviews: Unreliable reviews', 'Scripted Responses: Preprogrammed responses', 'Ego-inflating: Self-praise in AI dialogue', 'Patronizing: Childish behaviour']","['Emoji Overload: Excessive use of emojis', 'Inflated Reviews: Unreliable reviews', 'Scripted Responses: Preprogrammed responses', 'Ego-inflating: Self-praise in AI dialogue', 'Patronizing: Childish behaviour']","['emoji overload', 'inflated reviews', 'scripted responses', 'egoinflating', 'patronizing']","{'emoji overload': ' Excessive use of emojis', 'inflated reviews': ' Unreliable reviews', 'scripted responses': ' Preprogrammed responses', 'egoinflating': ' Self-praise in AI dialogue', 'patronizing': ' Childish behaviour'}"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.
""""""""","[<OpenAIObject at 0x7fc669c141d0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nInadequate Support: No response to inquiries, no way to cancel via app store.\nMisleading Billing: Billed via Apple Pay but transaction doesn't show, defaulted to family plan at 2x the price.\nNo Refunds: Unsubscribe did not issue a refund.\nHidden Terms: Billing terms can't be found.\nNo Transparency: Impossible to get a real support person to help.\nLast Resort: Disputing via credit card, last resort.""
}]","['Inadequate Support: No response to inquiries, no way to cancel via app store.', ""Misleading Billing: Billed via Apple Pay but transaction doesn't show, defaulted to family plan at 2x the price."", 'No Refunds: Unsubscribe did not issue a refund.', ""Hidden Terms: Billing terms can't be found."", 'No Transparency: Impossible to get a real support person to help.', 'Last Resort: Disputing via credit card, last resort.']","['Inadequate Support: No response to inquiries, no way to cancel via app store.', ""Misleading Billing: Billed via Apple Pay but transaction doesn't show, defaulted to family plan at 2x the price."", 'No Refunds: Unsubscribe did not issue a refund.', ""Hidden Terms: Billing terms can't be found."", 'No Transparency: Impossible to get a real support person to help.', 'Last Resort: Disputing via credit card, last resort.']","['inadequate support', 'misleading billing', 'no refunds', 'hidden terms', 'no transparency', 'last resort']","{'inadequate support': ' No response to inquiries, no way to cancel via app store.', 'misleading billing': "" Billed via Apple Pay but transaction doesn't show, defaulted to family plan at 2x the price."", 'no refunds': ' Unsubscribe did not issue a refund.', 'hidden terms': "" Billing terms can't be found."", 'no transparency': ' Impossible to get a real support person to help.', 'last resort': ' Disputing via credit card, last resort.'}"
