params,input,prompt,generator choices,labels,label_arr,label_arr_formatted,label_desc_formatted
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!
""""""""","[<OpenAIObject at 0x7fc669c14db0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nUnhelpful: concise description of customer service's lack of assistance\nUnprofessional: concise description of counselor's inappropriate behavior\nMisleading: concise description of false information provided\nDiscriminatory: concise description of counselor's religious bias\nInconvenient: concise description of multiple switches and misunderstandings""
}]","[""Unhelpful: concise description of customer service's lack of assistance"", ""Unprofessional: concise description of counselor's inappropriate behavior"", 'Misleading: concise description of false information provided', ""Discriminatory: concise description of counselor's religious bias"", 'Inconvenient: concise description of multiple switches and misunderstandings']","[""Unhelpful: concise description of customer service's lack of assistance"", ""Unprofessional: concise description of counselor's inappropriate behavior"", 'Misleading: concise description of false information provided', ""Discriminatory: concise description of counselor's religious bias"", 'Inconvenient: concise description of multiple switches and misunderstandings']","['unhelpful', 'unprofessional', 'misleading', 'discriminatory', 'inconvenient']","{'unhelpful': "" concise description of customer service's lack of assistance"", 'unprofessional': "" concise description of counselor's inappropriate behavior"", 'misleading': ' concise description of false information provided', 'discriminatory': "" concise description of counselor's religious bias"", 'inconvenient': ' concise description of multiple switches and misunderstandings'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.,"
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.
""""""""","[<OpenAIObject at 0x7fc669c19e50> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\nCompassionate: Offers understanding and support for those struggling with anxiety.\nInformative: Provides helpful information about anxiety.\nEmpowering: Encourages users to take control of their mental health.\nMotivating: Inspires users to be brave and face their fears.\nReassuring: Gives users confidence that they can overcome their anxieties.""
}]","['Compassionate: Offers understanding and support for those struggling with anxiety.', 'Informative: Provides helpful information about anxiety.', 'Empowering: Encourages users to take control of their mental health.', 'Motivating: Inspires users to be brave and face their fears.', 'Reassuring: Gives users confidence that they can overcome their anxieties.']","['Compassionate: Offers understanding and support for those struggling with anxiety.', 'Informative: Provides helpful information about anxiety.', 'Empowering: Encourages users to take control of their mental health.', 'Motivating: Inspires users to be brave and face their fears.', 'Reassuring: Gives users confidence that they can overcome their anxieties.']","['compassionate', 'informative', 'empowering', 'motivating', 'reassuring']","{'compassionate': ' Offers understanding and support for those struggling with anxiety.', 'informative': ' Provides helpful information about anxiety.', 'empowering': ' Encourages users to take control of their mental health.', 'motivating': ' Inspires users to be brave and face their fears.', 'reassuring': ' Gives users confidence that they can overcome their anxieties.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)
""""""""","[<OpenAIObject at 0x7fc669c19a40> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\nMisleading: Deceptive marketing tactics used to target children.\nIronic: App with the name \""Calm\"" causes agitation.\nExpensive: Yearly subscription costs $75.\nUnreturnable: Apple does not allow returns on digital purchases.\nUnfortunate: Accidental download leads to costly subscription.""
}]","['Misleading: Deceptive marketing tactics used to target children.', 'Ironic: App with the name ""Calm"" causes agitation.', 'Expensive: Yearly subscription costs $75.', 'Unreturnable: Apple does not allow returns on digital purchases.', 'Unfortunate: Accidental download leads to costly subscription.']","['Misleading: Deceptive marketing tactics used to target children.', 'Ironic: App with the name ""Calm"" causes agitation.', 'Expensive: Yearly subscription costs $75.', 'Unreturnable: Apple does not allow returns on digital purchases.', 'Unfortunate: Accidental download leads to costly subscription.']","['misleading', 'ironic', 'expensive', 'unreturnable', 'unfortunate']","{'misleading': ' Deceptive marketing tactics used to target children.', 'ironic': ' App with the name ""Calm"" causes agitation.', 'expensive': ' Yearly subscription costs $75.', 'unreturnable': ' Apple does not allow returns on digital purchases.', 'unfortunate': ' Accidental download leads to costly subscription.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive
""""""""","[<OpenAIObject at 0x7fc669c14cc0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nGreedy: Charging an expensive subscription for a mental health app.\nSelfish: Not offering any free features for people with mental health issues.\nRude: Expecting people to pay for something they can't control.\nExorbitant: Charging $70 a year for the app.\nUnfair: Not providing any free features for people with mental health issues.""
}]","['Greedy: Charging an expensive subscription for a mental health app.', 'Selfish: Not offering any free features for people with mental health issues.', ""Rude: Expecting people to pay for something they can't control."", 'Exorbitant: Charging $70 a year for the app.', 'Unfair: Not providing any free features for people with mental health issues.']","['Greedy: Charging an expensive subscription for a mental health app.', 'Selfish: Not offering any free features for people with mental health issues.', ""Rude: Expecting people to pay for something they can't control."", 'Exorbitant: Charging $70 a year for the app.', 'Unfair: Not providing any free features for people with mental health issues.']","['greedy', 'selfish', 'rude', 'exorbitant', 'unfair']","{'greedy': ' Charging an expensive subscription for a mental health app.', 'selfish': ' Not offering any free features for people with mental health issues.', 'rude': "" Expecting people to pay for something they can't control."", 'exorbitant': ' Charging $70 a year for the app.', 'unfair': ' Not providing any free features for people with mental health issues.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good
""""""""","[<OpenAIObject at 0x7fc669c191d0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nAccessible: concisely describes the app's accessibility features.\nAffordable: concisely describes the app's affordability.\nCustomizable: concisely describes the app's ability to customize the experience.\nInteractive: concisely describes the app's interactive features.\nBuggy: concisely describes the app's bug issues.""
}]","[""Accessible: concisely describes the app's accessibility features."", ""Affordable: concisely describes the app's affordability."", ""Customizable: concisely describes the app's ability to customize the experience."", ""Interactive: concisely describes the app's interactive features."", ""Buggy: concisely describes the app's bug issues.""]","[""Accessible: concisely describes the app's accessibility features."", ""Affordable: concisely describes the app's affordability."", ""Customizable: concisely describes the app's ability to customize the experience."", ""Interactive: concisely describes the app's interactive features."", ""Buggy: concisely describes the app's bug issues.""]","['accessible', 'affordable', 'customizable', 'interactive', 'buggy']","{'accessible': "" concisely describes the app's accessibility features."", 'affordable': "" concisely describes the app's affordability."", 'customizable': "" concisely describes the app's ability to customize the experience."", 'interactive': "" concisely describes the app's interactive features."", 'buggy': "" concisely describes the app's bug issues.""}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .
""""""""","[<OpenAIObject at 0x7fc669c14130> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nUnhelpful: concise description of the app's unhelpful customer service.\nExpensive: concise description of the app's expensive membership fee.\nAnnoying: concise description of the app's narration.\nUnrefundable: concise description of the app's unrefundable membership fee.\nInaccessible: concise description of the app's inaccessible customer service.""
}]","[""Unhelpful: concise description of the app's unhelpful customer service."", ""Expensive: concise description of the app's expensive membership fee."", ""Annoying: concise description of the app's narration."", ""Unrefundable: concise description of the app's unrefundable membership fee."", ""Inaccessible: concise description of the app's inaccessible customer service.""]","[""Unhelpful: concise description of the app's unhelpful customer service."", ""Expensive: concise description of the app's expensive membership fee."", ""Annoying: concise description of the app's narration."", ""Unrefundable: concise description of the app's unrefundable membership fee."", ""Inaccessible: concise description of the app's inaccessible customer service.""]","['unhelpful', 'expensive', 'annoying', 'unrefundable', 'inaccessible']","{'unhelpful': "" concise description of the app's unhelpful customer service."", 'expensive': "" concise description of the app's expensive membership fee."", 'annoying': "" concise description of the app's narration."", 'unrefundable': "" concise description of the app's unrefundable membership fee."", 'inaccessible': "" concise description of the app's inaccessible customer service.""}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).
""""""""","[<OpenAIObject at 0x7fc669c19220> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nObserve: Not reacting to thoughts.\nLetGo: Allowing thoughts to come and go.\nDaydream: Taking things less seriously.\nMemorable: Making mindfulness lessons more memorable.\nHelpful: Providing helpful tips.""
}]","['Observe: Not reacting to thoughts.', 'LetGo: Allowing thoughts to come and go.', 'Daydream: Taking things less seriously.', 'Memorable: Making mindfulness lessons more memorable.', 'Helpful: Providing helpful tips.']","['Observe: Not reacting to thoughts.', 'LetGo: Allowing thoughts to come and go.', 'Daydream: Taking things less seriously.', 'Memorable: Making mindfulness lessons more memorable.', 'Helpful: Providing helpful tips.']","['observe', 'letgo', 'daydream', 'memorable', 'helpful']","{'observe': ' Not reacting to thoughts.', 'letgo': ' Allowing thoughts to come and go.', 'daydream': ' Taking things less seriously.', 'memorable': ' Making mindfulness lessons more memorable.', 'helpful': ' Providing helpful tips.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.
""""""""","[<OpenAIObject at 0x7fc669c194a0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nInsightful: Experienced interviewer able to explain complex topics in simple language.\nCompassionate: Cares about helping people heal and evolve their self-care.\nKnowledgeable: Well-versed in mindfulness, meditation, and other evidence-based topics.\nMotivating: Encourages joy and reduces stress.\nProfessional: Highly experienced in marketing, PR, and communications.""
}]","['Insightful: Experienced interviewer able to explain complex topics in simple language.', 'Compassionate: Cares about helping people heal and evolve their self-care.', 'Knowledgeable: Well-versed in mindfulness, meditation, and other evidence-based topics.', 'Motivating: Encourages joy and reduces stress.', 'Professional: Highly experienced in marketing, PR, and communications.']","['Insightful: Experienced interviewer able to explain complex topics in simple language.', 'Compassionate: Cares about helping people heal and evolve their self-care.', 'Knowledgeable: Well-versed in mindfulness, meditation, and other evidence-based topics.', 'Motivating: Encourages joy and reduces stress.', 'Professional: Highly experienced in marketing, PR, and communications.']","['insightful', 'compassionate', 'knowledgeable', 'motivating', 'professional']","{'insightful': ' Experienced interviewer able to explain complex topics in simple language.', 'compassionate': ' Cares about helping people heal and evolve their self-care.', 'knowledgeable': ' Well-versed in mindfulness, meditation, and other evidence-based topics.', 'motivating': ' Encourages joy and reduces stress.', 'professional': ' Highly experienced in marketing, PR, and communications.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly
""""""""","[<OpenAIObject at 0x7fc669c192c0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nEmoji-heavy: Uses an excessive amount of emojis.\nInflated Reviews: Reviews are heavily exaggerated.\nScripted Responses: Developer responses are scripted.\nMisleading Claims: Falsely claims to have been tested at universities.\nPatronizing: Talks in a condescending manner.""
}]","['Emoji-heavy: Uses an excessive amount of emojis.', 'Inflated Reviews: Reviews are heavily exaggerated.', 'Scripted Responses: Developer responses are scripted.', 'Misleading Claims: Falsely claims to have been tested at universities.', 'Patronizing: Talks in a condescending manner.']","['Emoji-heavy: Uses an excessive amount of emojis.', 'Inflated Reviews: Reviews are heavily exaggerated.', 'Scripted Responses: Developer responses are scripted.', 'Misleading Claims: Falsely claims to have been tested at universities.', 'Patronizing: Talks in a condescending manner.']","['emojiheavy', 'inflated reviews', 'scripted responses', 'misleading claims', 'patronizing']","{'emojiheavy': ' Uses an excessive amount of emojis.', 'inflated reviews': ' Reviews are heavily exaggerated.', 'scripted responses': ' Developer responses are scripted.', 'misleading claims': ' Falsely claims to have been tested at universities.', 'patronizing': ' Talks in a condescending manner.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.
""""""""","[<OpenAIObject at 0x7fc669c19860> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nIneffective: Poor response to inquiries and no way to cancel via app store.\nMisleading: Billed via Apple Pay but transaction doesn't show on Apple Pay transactions.\nUnclear: Impossible to get a real support person to help.\nUnfair: Subscription defaulted to family plan at 2x the price and unsubscribe did not issue a refund.\nOpaque: Billing terms can't be found.\nDesperate: Disputing via credit card, last resort.""
}]","['Ineffective: Poor response to inquiries and no way to cancel via app store.', ""Misleading: Billed via Apple Pay but transaction doesn't show on Apple Pay transactions."", 'Unclear: Impossible to get a real support person to help.', 'Unfair: Subscription defaulted to family plan at 2x the price and unsubscribe did not issue a refund.', ""Opaque: Billing terms can't be found."", 'Desperate: Disputing via credit card, last resort.']","['Ineffective: Poor response to inquiries and no way to cancel via app store.', ""Misleading: Billed via Apple Pay but transaction doesn't show on Apple Pay transactions."", 'Unclear: Impossible to get a real support person to help.', 'Unfair: Subscription defaulted to family plan at 2x the price and unsubscribe did not issue a refund.', ""Opaque: Billing terms can't be found."", 'Desperate: Disputing via credit card, last resort.']","['ineffective', 'misleading', 'unclear', 'unfair', 'opaque', 'desperate']","{'ineffective': ' Poor response to inquiries and no way to cancel via app store.', 'misleading': "" Billed via Apple Pay but transaction doesn't show on Apple Pay transactions."", 'unclear': ' Impossible to get a real support person to help.', 'unfair': ' Subscription defaulted to family plan at 2x the price and unsubscribe did not issue a refund.', 'opaque': "" Billing terms can't be found."", 'desperate': ' Disputing via credit card, last resort.'}"
